Mode,Month,Origin Country,Origin Latitude,Origin Longitude,State,Load Port,Port Latitude,Port Longitude,Species,End Use,Destination Country,Destination Latitude,Destination Longitude,Quantity,Year,Date
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,-32.056946,115.743889,Cattle,Feeder,Vietnam,14.058324,108.277199,6096,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,-32.056946,115.743889,Cattle,Slaughter,Malaysia,4.210484,101.975766,2200,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,-31.953512,115.857048,Sheep,Slaughter,Malaysia,4.210484,101.975766,134,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,QLD,Townsville,-19.258965,146.816956,Cattle,Slaughter,Vietnam,14.058324,108.277199,2847,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,-31.953512,115.857048,Sheep,Slaughter,Malaysia,4.210484,101.975766,136,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,SA,Adelaide,-34.92123,138.599503,Sheep,Slaughter,Malaysia,4.210484,101.975766,151,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,-31.953512,115.857048,Sheep,Slaughter,Malaysia,4.210484,101.975766,162,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,NSW,Sydney,-33.865143,151.2099,Goats,Breeder,Philippines,12.879721,121.774017,128,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,QLD,Townsville,-19.258965,146.816956,Cattle,Slaughter,Vietnam,14.058324,108.277199,2792,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,SA,Adelaide,-34.92123,138.599503,Goats,Slaughter,Malaysia,4.210484,101.975766,120,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,-32.056946,115.743889,Cattle,Slaughter,Vietnam,14.058324,108.277199,5610,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,-31.953512,115.857048,Sheep,Slaughter,Malaysia,4.210484,101.975766,154,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,NT,Darwin,-12.462827,130.841782,Cattle,Feeder,Indonesia,-0.789275,113.921327,3167,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,QLD,Townsville,-19.258965,146.816956,Cattle,Slaughter,Vietnam,14.058324,108.277199,2023,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,-32.056946,115.743889,Cattle,Feeder,Turkey,38.963745,35.243322,6951,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,NT,Darwin,-12.462827,130.841782,Cattle,Slaughter,Vietnam,14.058324,108.277199,1350,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Geraldton,-28.782387,114.607513,Cattle,Slaughter,Vietnam,14.058324,108.277199,2063,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,-31.953512,115.857048,Sheep,Slaughter,Malaysia,4.210484,101.975766,144,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,QLD,Townsville,-19.258965,146.816956,Cattle,Feeder,Indonesia,-0.789275,113.921327,3822,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,-32.056946,115.743889,Cattle,Feeder,Indonesia,-0.789275,113.921327,1886,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,-31.953512,115.857048,Sheep,Slaughter,Malaysia,4.210484,101.975766,147,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,-32.056946,115.743889,Cattle,Feeder,Indonesia,-0.789275,113.921327,9820,2016,01/01/2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,-32.056946,115.743889,Cattle,Slaughter,Vietnam,14.058324,108.277199,7839,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,-31.953512,115.857048,Sheep,Slaughter,Malaysia,4.210484,101.975766,165,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,VIC,Melbourne,-37.840935,144.946457,Alpacas,Breeder,New Zealand,-40.900557,174.885971,18,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,SA,Adelaide,-34.92123,138.599503,Goats,Slaughter,Malaysia,4.210484,101.975766,1236,2016,01/01/2016
Air,Jan,Australia,-25.274398,133.775136,SA,Adelaide,-34.92123,138.599503,Sheep,Slaughter,Malaysia,4.210484,101.975766,947,2016,01/01/2016
